"","x1","z1","x2","z2","c1","c2"
"344",26.06,4.72,23.26,4.72,"ww","ww"
"345",23.26,2.24,28.22,2.24,"ww","ww"
"346",28.22,2.24,28.22,4.58,"ww","ww"
"347",28.22,4.58,28.12,4.58,"ww","wh"
"349",27.12,4.58,23.26,4.56,"dw","ww"
"350",23.26,4.56,23.26,2.24,"ww","ww"
"351",23.26,2,23.26,-2.4,"ww","ww"
"352",23.26,-2.4,28.7,-2.4,"ww","ww"
"353",28.7,-2.4,28.7,0.72,"ww","wd"
"355",28.7,1.68,28.7,2,"hw","ww"
"356",28.7,2,23.26,2,"ww","ww"
"357",35.62,2.86,35.62,1.7,"ww","ww"
"358",35.62,1.7,30.54,1.7,"ww","ww"
"359",30.54,1.7,30.54,1.84,"ww","wd"
"361",30.54,2.72,30.54,2.86,"hw","ww"
"362",30.54,2.86,35.62,2.86,"ww","ww"
"363",34.04,1.42,34.04,0.46,"ww","wh"
"365",34.04,-0.54,34.06,-2.38,"dw","ww"
"366",34.06,-2.38,30.12,-2.38,"ww","wd"
"368",28.98,-2.38,28.8,-2.38,"hw","ww"
"369",28.8,-2.38,28.8,0.64,"ww","wi"
"371",30.34,1.42,34.04,1.42,"iw","ww"
"372",34.26,-2.28,35.52,-2.28,"ww","ww"
"373",35.52,-2.28,35.52,1.44,"ww","ww"
"374",35.52,1.44,34.28,1.44,"ww","ww"
"375",34.28,1.44,34.26,0.46,"ww","wh"
"377",34.26,-0.5,34.26,-2.28,"dw","ww"
"378",35.62,12.54,35.62,3.14,"ww","ww"
"379",35.62,3.14,30.38,3.16,"ww","wi"
"381",31.66,12.54,35.62,12.54,"iw","ww"
"382",35.62,12.7,35.62,15.3,"ww","ww"
"383",35.62,15.3,31.78,15.3,"ww","ww"
"384",31.78,15.3,31.78,13.68,"ww","wd"
"386",31.78,12.82,31.78,12.7,"hw","ww"
"387",31.78,12.7,35.62,12.7,"ww","ww"
"388",31.78,15.48,35.62,15.48,"ww","ww"
"389",35.62,15.48,35.62,17.96,"ww","ww"
