"idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx"
249,24.42,15.66,27.1,15.66,"ww","ww",0,-2.68,-41.9688,24.419,27.101,15.659,15.661
250,27.1,15.66,27.1,16.9,"ww","wd",1.24,0,33.604,27.099,27.101,15.659,16.901
251,27.1,17.54,27.1,17.7,"hw","ww",0.16,0,4.336,27.099,27.101,17.539,17.701
252,27.1,17.7,24.42,17.7,"ww","ww",0,2.68,47.436,24.419,27.101,17.699,17.701
253,24.42,17.7,24.42,15.66,"ww","ww",-2.04,0,-49.8168,24.419,24.421,15.659,17.701
254,27.12,16.46,28.7,16.46,"ww","ww",0,-1.58,-26.0068,27.119,28.701,16.459,16.461
255,28.7,16.46,28.7,16.88,"ww","wd",0.419999999999998,0,12.0539999999999,28.699,28.701,16.459,16.881
256,28.7,17.58,28.7,17.74,"hw","ww",0.16,0,4.592,28.699,28.701,17.579,17.741
257,28.7,17.74,27.12,17.74,"ww","ww",0,1.58,28.0292,27.119,28.701,17.739,17.741
258,27.12,17.74,27.12,17.58,"ww","wh",-0.16,0,-4.3392,27.119,27.121,17.579,17.741
259,27.12,16.92,27.12,16.46,"dw","ww",-0.460000000000001,0,-12.4752,27.119,27.121,16.459,16.921
260,27.1,14.04,27.1,16.46,"ww","ww",2.42,0,65.5820000000001,27.099,27.101,14.039,16.461
261,27.1,16.46,28.7,16.46,"ww","ww",0,-1.6,-26.336,27.099,28.701,16.459,16.461
262,28.7,16.46,28.7,15.66,"ww","wh",-0.800000000000001,0,-22.96,28.699,28.701,15.659,16.461
263,28.7,14.92,28.7,14.04,"dw","ww",-0.880000000000001,0,-25.256,28.699,28.701,14.039,14.921
264,28.7,14.04,27.1,14.04,"ww","ww",0,1.6,22.464,27.099,28.701,14.039,14.041
265,27.1,12.7,28.7,12.7,"ww","ww",0,-1.6,-20.32,27.099,28.701,12.699,12.701
266,28.7,12.7,28.7,12.98,"ww","wh",0.280000000000001,0,8.03600000000003,28.699,28.701,12.699,12.981
267,28.7,13.62,28.7,14.04,"dw","ww",0.42,0,12.054,28.699,28.701,13.619,14.041
268,28.7,14.04,27.1,14.04,"ww","ww",0,1.6,22.464,27.099,28.701,14.039,14.041
269,27.1,14.04,27.1,13.62,"ww","wd",-0.42,0,-11.382,27.099,27.101,13.619,14.041
270,27.1,13.02,27.1,12.7,"hw","ww",-0.32,0,-8.67200000000001,27.099,27.101,12.699,13.021
271,24.44,12.7,27.1,12.7,"ww","ww",0,-2.66,-33.782,24.439,27.101,12.699,12.701
272,27.1,12.7,27.1,12.96,"ww","wh",0.260000000000002,0,7.04600000000004,27.099,27.101,12.699,12.961
273,27.1,13.62,27.1,15.68,"dw","ww",2.06,0,55.826,27.099,27.101,13.619,15.681
274,27.1,15.68,24.44,15.68,"ww","ww",0,2.66,41.7088,24.439,27.101,15.679,15.681
275,24.44,15.68,24.44,12.7,"ww","ww",-2.98,0,-72.8312,24.439,24.441,12.699,15.681
276,23.26,10.08,23.26,12.7,"ww","ww",2.62,0,60.9412,23.259,23.261,10.079,12.701
277,23.26,12.7,28.22,12.7,"ww","ww",0,-4.96,-62.992,23.259,28.221,12.699,12.701
278,28.22,12.7,28.22,10.08,"ww","ww",-2.62,0,-73.9364,28.219,28.221,10.079,12.701
279,28.22,10.08,28.22,10.08,"ww","wh",0,0,0,28.219,28.221,10.079,10.081
280,27.34,10.08,23.26,10.08,"dw","ww",0,4.08,41.1264,23.259,27.341,10.079,10.081
281,26.06,7.4,23.26,7.4,"ww","ww",0,2.8,20.72,23.259,26.061,7.399,7.401
282,23.26,7.4,23.26,10.08,"ww","ww",2.68,0,62.3368,23.259,23.261,7.399,10.081
283,23.26,10.08,26.06,10.08,"ww","ww",0,-2.8,-28.224,23.259,26.061,10.079,10.081
284,26.06,10.08,26.06,9.78,"ww","wh",-0.300000000000001,0,-7.81800000000002,26.059,26.061,9.779,10.081
285,26.06,9,26.06,7.4,"dw","ww",-1.6,0,-41.696,26.059,26.061,7.399,9.001
286,23.26,4.72,23.26,7.4,"ww","ww",2.68,0,62.3368,23.259,23.261,4.719,7.401
287,23.26,7.4,26.06,7.4,"ww","ww",0,-2.8,-20.72,23.259,26.061,7.399,7.401
288,26.06,7.4,26.06,5.7,"ww","wd",-1.7,0,-44.302,26.059,26.061,5.699,7.401
289,26.06,4.82,26.06,4.72,"hw","ww",-0.100000000000001,0,-2.60600000000001,26.059,26.061,4.719,4.821
290,26.06,4.72,23.26,4.72,"ww","ww",0,2.8,13.216,23.259,26.061,4.719,4.721
291,23.26,2,28.22,2,"ww","ww",0,-4.96,-9.91999999999999,23.259,28.221,1.999,2.001
292,28.22,2,28.22,4.72,"ww","ww",2.72,0,76.7584,28.219,28.221,1.999,4.721
293,28.22,4.72,28.12,4.72,"ww","wh",0,0.0999999999999979,0.47199999999999,28.119,28.221,4.719,4.721
294,27.12,4.72,23.26,4.72,"dw","ww",0,3.86,18.2192,23.259,27.121,4.719,4.721
295,23.26,4.72,23.26,2,"ww","ww",-2.72,0,-63.2672,23.259,23.261,1.999,4.721
296,23.26,2,23.26,-2.7,"ww","ww",-4.7,0,-109.322,23.259,23.261,-2.701,2.001
297,23.26,-2.7,28.8,-2.7,"ww","ww",0,-5.54,14.958,23.259,28.801,-2.701,-2.699
298,28.8,-2.7,28.8,0.72,"ww","wd",3.42,0,98.496,28.799,28.801,-2.701,0.721
299,28.8,1.68,28.8,2,"hw","ww",0.32,0,9.216,28.799,28.801,1.679,2.001
300,28.8,2,23.26,2,"ww","ww",0,5.54,11.08,23.259,28.801,1.999,2.001
301,34.06,1.44,34.06,0.46,"ww","wh",-0.98,0,-33.3788,34.059,34.061,0.459,1.441
302,34.06,-0.54,34.06,-2.7,"dw","ww",-2.16,0,-73.5696,34.059,34.061,-2.701,-0.539
303,34.06,-2.7,30.12,-2.7,"ww","wd",0,3.94,-10.638,30.119,34.061,-2.701,-2.699
304,28.98,-2.7,28.8,-2.7,"hw","ww",0,0.18,-0.485999999999999,28.799,28.981,-2.701,-2.699
305,28.8,-2.7,28.8,0.64,"ww","wi",3.34,0,96.192,28.799,28.801,-2.701,0.641
306,30.34,1.44,34.06,1.44,"iw","ww",0,-3.72,-5.3568,30.339,34.061,1.439,1.441
307,35.52,3.14,35.52,1.44,"ww","ww",-1.7,0,-60.384,35.519,35.521,1.439,3.141
308,35.52,1.44,30.54,1.44,"ww","ww",0,4.98,7.17120000000001,30.539,35.521,1.439,1.441
309,30.54,1.44,30.54,1.84,"ww","wd",0.4,0,12.216,30.539,30.541,1.439,1.841
310,30.54,2.72,30.54,3.14,"hw","ww",0.42,0,12.8268,30.539,30.541,2.719,3.141
311,30.54,3.14,35.52,3.14,"ww","ww",0,-4.98,-15.6372,30.539,35.521,3.139,3.141
312,34.06,-2.7,35.52,-2.7,"ww","ww",0,-1.46,3.942,34.059,35.521,-2.701,-2.699
313,35.52,-2.7,35.52,1.44,"ww","ww",4.14,0,147.0528,35.519,35.521,-2.701,1.441
314,35.52,1.44,34.06,1.44,"ww","ww",0,1.46,2.1024,34.059,35.521,1.439,1.441
315,34.06,1.44,34.06,0.46,"ww","wh",-0.98,0,-33.3788,34.059,34.061,0.459,1.441
316,34.06,-0.5,34.06,-2.7,"dw","ww",-2.2,0,-74.932,34.059,34.061,-2.701,-0.499
317,35.52,12.7,35.52,3.14,"ww","ww",-9.56,0,-339.5712,35.519,35.521,3.139,12.701
318,35.52,3.14,30.38,3.16,"ww","wi",0.02,5.14,16.85,30.379,35.521,3.139,3.161
319,31.66,12.7,35.52,12.7,"iw","ww",0,-3.86,-49.022,31.659,35.521,12.699,12.701
320,35.52,12.7,35.52,15.4,"ww","ww",2.7,0,95.9040000000001,35.519,35.521,12.699,15.401
321,35.52,15.4,31.78,15.4,"ww","ww",0,3.74,57.596,31.779,35.521,15.399,15.401
322,31.78,15.4,31.78,13.68,"ww","wd",-1.72,0,-54.6616,31.779,31.781,13.679,15.401
323,31.78,12.82,31.78,12.7,"hw","ww",-0.120000000000001,0,-3.81360000000003,31.779,31.781,12.699,12.821
324,31.78,12.7,35.52,12.7,"ww","ww",0,-3.74,-47.498,31.779,35.521,12.699,12.701
325,31.78,15.4,35.52,15.4,"ww","ww",0,-3.74,-57.596,31.779,35.521,15.399,15.401
326,35.52,15.4,35.52,17.96,"ww","ww",2.56,0,90.9312,35.519,35.521,15.399,17.961
327,35.52,17.96,31.78,17.96,"ww","ww",0,3.74,67.1704,31.779,35.521,17.959,17.961
328,31.78,17.96,31.78,17.96,"ww","wh",0,0,0,31.779,31.781,17.959,17.961
329,31.78,17.08,31.78,15.4,"dw","ww",-1.68,0,-53.3903999999999,31.779,31.781,15.399,17.081
330,-38.28,24.5,-19.79,-9.75,"iw","wi",-34.25,-18.49,858.085,-38.281,-19.789,-9.751,24.501
331,-19,-4.8,-32.1,19.48,"iw","wi",24.28,13.1,-524.2,-32.101,-18.999,-4.801,19.481
332,-2.84,-9.8,-19.72,-9.8,"ww","wi",0,16.88,-165.424,-19.721,-2.839,-9.801,-9.799
333,-19.2,-4.8,-11.56,-4.8,"iw","ww",0,-7.64,36.672,-19.201,-11.559,-4.801,-4.799
334,-11.56,-4.8,-5.28,-4.8,"ww","wh",0,-6.28,30.144,-11.561,-5.279,-4.801,-4.799
335,-4.22,-4.8,-2.84,-4.8,"dw","ww",0,-1.38,6.624,-4.221,-2.839,-4.801,-4.799
336,-2.84,-4.8,-2.84,-9.8,"ww","ww",-5,0,14.2,-2.841,-2.839,-9.801,-4.799
337,-26.32,24.44,-16.88,24.44,"ww","ww",0,-9.44,-230.7136,-26.321,-16.879,24.439,24.441
338,-16.88,24.44,-16.88,21.44,"ww","wi",-3,0,50.64,-16.881,-16.879,21.439,24.441
339,-16.88,20.28,-16.88,19.72,"iw","ww",-0.560000000000002,0,9.45280000000004,-16.881,-16.879,19.719,20.281
340,-16.88,19.72,-32.7,19.72,"ww","wi",0,15.82,311.9704,-32.701,-16.879,19.719,19.721
341,-38.26,24.44,-26.32,24.44,"iw","ww",0,-11.94,-291.8136,-38.261,-26.319,24.439,24.441
342,35.52,-2.7,35.52,-3.84,"ww","ww",-1.14,0,-40.4928,35.519,35.521,-3.841,-2.699
343,35.52,-3.84,23.22,-6.96,"ww","ww",-3.12,12.3,-158.0544,23.219,35.521,-6.961,-3.839
344,23.22,-6.96,23.22,-2.7,"ww","ww",4.26,0,98.9172,23.219,23.221,-6.961,-2.699
345,23.22,-2.7,28.98,-2.7,"ww","wi",0,-5.76,15.552,23.219,28.981,-2.701,-2.699
346,30.12,-2.7,35.52,-2.7,"iw","ww",0,-5.4,14.58,30.119,35.521,-2.701,-2.699
347,3.44,-9.82,3.44,-4.86,"ww","ww",4.96,0,17.0624,3.439,3.441,-9.821,-4.859
348,3.44,-4.86,9.68,-4.86,"ww","wi",0,-6.24,30.3264,3.439,9.681,-4.861,-4.859
349,10.84,-4.86,12.22,-4.86,"iw","ww",0,-1.38,6.7068,10.839,12.221,-4.861,-4.859
350,12.22,-4.86,12.22,-9.82,"ww","ww",-4.96,0,-60.6112,12.219,12.221,-9.821,-4.859
351,12.22,-9.82,3.44,-9.82,"ww","ww",0,8.78,-86.2196,3.439,12.221,-9.821,-9.819
352,3.44,-9.8,3.44,-8.7,"ww","ww",1.1,0,3.784,3.439,3.441,-9.801,-8.699
353,3.44,-8.7,-2.84,-8.7,"ww","ww",0,6.28,-54.636,-2.841,3.441,-8.701,-8.699
354,-2.84,-8.7,-2.84,-9.8,"ww","ww",-1.1,0,3.124,-2.841,-2.839,-9.801,-8.699
355,-2.84,-9.8,3.44,-9.8,"ww","ww",0,-6.28,61.544,-2.841,3.441,-9.801,-9.799
356,-6,7.32,-6,7.82,"ww","wd",0.5,0,-3,-6.001,-5.999,7.319,7.821
357,-6,8.66,-6,9.64,"hw","ww",0.98,0,-5.88,-6.001,-5.999,8.659,9.641
358,-6,9.64,-8.1,9.64,"ww","ww",0,2.1,20.244,-8.101,-5.999,9.639,9.641
359,-8.1,9.64,-8.1,7.32,"ww","ww",-2.32,0,18.792,-8.101,-8.099,7.319,9.641
360,-8.1,7.32,-6,7.32,"ww","ww",0,-2.1,-15.372,-8.101,-5.999,7.319,7.321
361,-6,4.98,-6,5.82,"ww","wd",0.84,0,-5.04,-6.001,-5.999,4.979,5.821
362,-6,6.66,-6,7.32,"hw","ww",0.66,0,-3.96,-6.001,-5.999,6.659,7.321
363,-6,7.32,-8.1,7.32,"ww","ww",0,2.1,15.372,-8.101,-5.999,7.319,7.321
364,-8.1,7.32,-8.1,4.98,"ww","ww",-2.34,0,18.954,-8.101,-8.099,4.979,7.321
365,-8.1,4.98,-6,4.98,"ww","ww",0,-2.1,-10.458,-8.101,-5.999,4.979,4.981
