"idx","x1","z1","x2","z2","c1","c2","A1","B1","C1","xmn","xmx","zmn","zmx"
23,-4.17,12.58,-4.17,2.1,"ww","ww",-10.48,0,43.7016,-4.171,-4.169,2.099,12.581
24,-8.36,-4.79,-5.6,-4.79,"ww","ww",0,-2.76,13.2204,-8.361,-5.599,-4.791,-4.789
25,-5.6,-4.79,-5.6,0.31,"ww","ww",5.1,0,-28.56,-5.601,-5.599,-4.791,0.311
26,-5.6,0.31,-7.1,0.32,"ww","wd",0.01,1.5,0.409,-7.101,-5.599,0.309,0.321
27,-8.1,0.32,-8.36,0.32,"hw","ww",0,0.26,0.0831999999999999,-8.361,-8.099,0.319,0.321
28,-8.36,0.32,-8.36,-4.79,"ww","ww",-5.11,0,42.7196,-8.361,-8.359,-4.791,0.321
29,-8.36,-4.79,-8.36,0.32,"ww","ww",5.11,0,-42.7196,-8.361,-8.359,-4.791,0.321
30,-8.36,0.32,-8.67,0.32,"ww","wh",0,0.31,0.0992000000000002,-8.671,-8.359,0.319,0.321
31,-9.46,0.32,-16.06,0.32,"dw","ww",0,6.6,2.112,-16.061,-9.459,0.319,0.321
32,-16.06,0.32,-20.56,-1.99,"ww","ww",-2.31,4.5,38.5386,-20.561,-16.059,-1.991,0.321
33,-20.56,-1.99,-18.98,-4.79,"ww","ww",-2.8,-1.58,60.7122,-20.561,-18.979,-4.791,-1.989
34,-18.98,-4.79,-8.36,-4.79,"ww","ww",0,-10.62,50.8698,-18.981,-8.359,-4.791,-4.789
35,-20.54,-2,-17.02,-0.2,"ww","ww",1.8,-3.52,-29.932,-20.541,-17.019,-2.001,-0.199
36,-17.02,-0.2,-17.38,0.53,"ww","wh",0.73,0.359999999999999,-12.4966,-17.381,-17.019,-0.201,0.531
37,-17.87,1.42,-19.22,3.96,"dw","ww",2.54,1.35,-43.4728,-19.221,-17.869,1.419,3.961
38,-19.22,3.96,-22.76,2.1,"ww","ww",-1.86,3.54,49.7676,-22.761,-19.219,2.099,3.961
39,-22.76,2.1,-20.54,-2,"ww","ww",-4.1,-2.22,88.654,-22.761,-20.539,-2.001,2.101
40,-22.76,2.1,-19.21,3.97,"ww","ww",1.87,-3.55,-50.0162,-22.761,-19.209,2.099,3.971
41,-19.21,3.97,-20.76,6.81,"ww","wd",2.84,1.55,-48.4029,-20.761,-19.209,3.969,6.811
42,-21.27,7.7,-21.4,7.96,"hw","ww",0.26,0.129999999999999,-4.5292,-21.401,-21.269,7.699,7.961
43,-21.4,7.96,-24.92,6.1,"ww","ww",-1.86,3.52,67.8232,-24.921,-21.399,6.099,7.961
44,-24.92,6.1,-22.76,2.1,"ww","ww",-4,-2.16,86.504,-24.921,-22.759,2.099,6.101
45,-21.38,7.96,-24.28,13.37,"ww","wd",5.41,2.9,-92.5818,-24.281,-21.379,7.959,13.371
46,-24.75,14.24,-24.89,14.49,"hw","ww",0.25,0.140000000000001,-4.19389999999999,-24.891,-24.749,14.239,14.491
47,-24.89,14.49,-28.45,12.65,"ww","ww",-1.84,3.56,97.382,-28.451,-24.889,12.649,14.491
48,-28.45,12.65,-24.93,6.11,"ww","ww",-6.54,-3.52,141.535,-28.451,-24.929,6.109,12.651
49,-24.93,6.11,-21.38,7.96,"ww","ww",1.85,-3.55,-67.811,-24.931,-21.379,6.109,7.961
50,-16.71,12.49,-16.71,15.05,"ww","ww",2.56,0,-42.7776,-16.711,-16.709,12.489,15.051
51,-16.71,15.05,-16.71,15.05,"ww","wd",0,0,0,-16.711,-16.709,15.049,15.051
52,-17.85,15.05,-21.67,15.05,"hw","ww",0,3.82,57.491,-21.671,-17.849,15.049,15.051
53,-21.67,15.05,-21.67,12.49,"ww","ww",-2.56,0,55.4752,-21.671,-21.669,12.489,15.051
54,-21.67,12.49,-16.71,12.49,"ww","ww",0,-4.96,-61.9504,-21.671,-16.709,12.489,12.491
55,-12.38,19.48,-12.38,21.68,"ww","ww",2.2,0,-27.236,-12.381,-12.379,19.479,21.681
56,-12.38,21.68,-15.15,21.68,"ww","ww",0,2.77,60.0536,-15.151,-12.379,21.679,21.681
57,-15.15,21.68,-15.16,19.48,"ww","ww",-2.2,0.00999999999999979,33.5468,-15.161,-15.149,19.479,21.681
58,-15.16,19.48,-15.02,19.48,"ww","wh",0,-0.140000000000001,-2.72720000000001,-15.161,-15.019,19.479,19.481
59,-14.08,19.48,-13.73,19.48,"dw","ww",0,-0.35,-6.81799999999999,-14.081,-13.729,19.479,19.481
60,-13.73,19.48,-12.38,19.48,"ww","ww",0,-1.35,-26.298,-13.731,-12.379,19.479,19.481
61,-10.8,19.48,-10.8,23.38,"ww","ww",3.9,0,-42.12,-10.801,-10.799,19.479,23.381
62,-10.8,23.38,-12.36,23.38,"ww","ww",0,1.56,36.4728,-12.361,-10.799,23.379,23.381
63,-12.36,23.38,-12.36,19.48,"ww","ww",-3.9,0,48.204,-12.361,-12.359,19.479,23.381
64,-12.36,19.48,-12.24,19.48,"ww","wd",0,-0.119999999999999,-2.33759999999999,-12.361,-12.239,19.479,19.481
65,-11.34,19.48,-10.8,19.48,"hw","ww",0,-0.539999999999999,-10.5192,-11.341,-10.799,19.479,19.481
66,-16.86,21.68,-12.36,21.68,"ww","wi",0,-4.5,-97.56,-16.861,-12.359,21.679,21.681
67,-12.36,23.38,-16.86,23.38,"iw","ww",0,4.5,105.21,-16.861,-12.359,23.379,23.381
68,-16.86,23.38,-16.86,21.68,"ww","ww",-1.7,0,28.662,-16.861,-16.859,21.679,23.381
69,-5.82,12.52,-16.66,12.5,"ww","ww",-0.0199999999999996,10.84,135.8332,-16.661,-5.819,12.499,12.521
70,-16.66,12.5,-16.66,17.7,"ww","ww",5.2,0,-86.632,-16.661,-16.659,12.499,17.701
71,-16.66,17.7,-16.47,17.7,"ww","wh",0,-0.190000000000001,-3.36300000000002,-16.661,-16.469,17.699,17.701
72,-15.43,17.7,-11,17.7,"dw","ww",0,-4.43,-78.411,-15.431,-10.999,17.699,17.701
73,-11,17.7,-8.29,17.7,"ww","wd",0,-2.71,-47.967,-11.001,-8.289,17.699,17.701
74,-7.27,17.7,-5.82,17.7,"hw","ww",0,-1.45,-25.665,-7.271,-5.819,17.699,17.701
75,-5.82,17.7,-5.82,12.52,"ww","ww",-5.18,0,30.1476,-5.821,-5.819,12.519,17.701
76,-5.8,19.48,-5.8,23.4,"ww","ww",3.92,0,-22.736,-5.801,-5.799,19.479,23.401
77,-5.8,23.4,-10.8,23.4,"ww","ww",0,5,117,-10.801,-5.799,23.399,23.401
78,-10.8,23.4,-10.8,19.48,"ww","ww",-3.92,0,42.336,-10.801,-10.799,19.479,23.401
79,-10.8,19.48,-10.63,19.48,"ww","wh",0,-0.17,-3.3116,-10.801,-10.629,19.479,19.481
80,-9.7,19.48,-5.8,19.48,"dw","ww",0,-3.9,-75.972,-9.701,-5.799,19.479,19.481
81,-2.76,19.5,-3.02,19.5,"ww","wh",0,0.26,5.07,-3.021,-2.759,19.499,19.501
82,-3.92,19.5,-5.8,19.5,"dw","ww",0,1.88,36.66,-5.801,-3.919,19.499,19.501
83,-5.8,19.5,-5.8,23.4,"ww","ww",3.9,0,-22.62,-5.801,-5.799,19.499,23.401
84,-5.8,23.4,-2.76,23.4,"ww","ww",0,-3.04,-71.136,-5.801,-2.759,23.399,23.401
85,-2.76,23.4,-2.76,19.5,"ww","ww",-3.9,0,10.764,-2.761,-2.759,19.499,23.401
86,-0.12,14.44,-4.22,14.44,"ww","ww",0,4.1,59.204,-4.221,-0.119,14.439,14.441
87,-4.22,14.44,-4.22,13.7,"ww","wd",-0.74,0,3.1228,-4.221,-4.219,13.699,14.441
88,-4.22,12.79,-4.22,12.57,"hw","ww",-0.219999999999999,0,0.928399999999995,-4.221,-4.219,12.569,12.791
89,-4.22,12.57,-0.12,12.57,"ww","ww",0,-4.1,-51.537,-4.221,-0.119,12.569,12.571
90,-0.12,12.57,-0.12,14.44,"ww","ww",1.87,0,-0.2244,-0.121,-0.119,12.569,14.441
91,-0.11,14.56,-0.12,17.73,"ww","ww",3.17,0.01,-0.2031,-0.121,-0.109,14.559,17.731
92,-0.12,17.73,-0.32,17.73,"ww","wd",0,0.2,3.546,-0.321,-0.119,17.729,17.731
93,-1.2,17.73,-4.2,17.72,"hw","ww",-0.0100000000000016,3,53.202,-4.201,-1.199,17.719,17.731
94,-4.2,17.72,-4.2,14.56,"ww","ww",-3.16,0,13.272,-4.201,-4.199,14.559,17.721
95,-4.2,14.56,-0.11,14.56,"ww","ww",0,-4.09,-59.5504,-4.201,-0.109,14.559,14.561
96,-2.76,23.4,-2.76,19.54,"ww","wi",-3.86,0,10.6536,-2.761,-2.759,19.539,23.401
97,17.56,19.54,17.56,23.4,"iw","ww",3.86,0,67.7816,17.559,17.561,19.539,23.401
98,17.56,23.4,-2.76,23.4,"ww","ww",0,20.32,475.488,-2.761,17.561,23.399,23.401
99,0.75,17.68,0,17.68,"ww","ww",0,0.75,13.26,-0.001,0.751,17.679,17.681
100,0,17.68,0,12.52,"ww","ww",-5.16,0,0,-0.001,0.001,12.519,17.681
101,0,12.52,0.75,12.52,"ww","ww",0,-0.75,-9.39,-0.001,0.751,12.519,12.521
102,0.75,12.52,0.75,17.68,"ww","ww",5.16,0,3.87,0.749,0.751,12.519,17.681
103,4,4.82,5.1,4.82,"ww","ww",0,-1.1,-5.302,3.999,5.101,4.819,4.821
104,5.1,4.82,5.1,4.98,"ww","wh",0.16,0,0.816000000000001,5.099,5.101,4.819,4.981
105,5.1,6,5.1,7.26,"dw","ww",1.26,0,6.426,5.099,5.101,5.999,7.261
106,5.1,7.26,0,7.26,"ww","ww",0,5.1,37.026,-0.001,5.101,7.259,7.261
107,0,7.26,0,4.82,"ww","wi",-2.44,0,0,-0.001,0.001,4.819,7.261
108,3.36,4.82,4,4.82,"iw","ww",0,-0.64,-3.0848,3.359,4.001,4.819,4.821
109,0.82,15.12,5.1,15.12,"ww","ww",0,-4.28,-64.7136,0.819,5.101,15.119,15.121
110,5.1,15.12,5.1,15.54,"ww","wi",0.42,0,2.142,5.099,5.101,15.119,15.541
